data,categoria,canal_marketing,investimento_mkt,desconto_medio_pct,receita_vendas
2024-01-01,Beleza_Saude,TikTok_Ads,441.32,14.71,3137.03
2024-01-01,Esportes,TikTok_Ads,441.78,13.21,2483.09
2024-01-01,Casa_Decoracao,TikTok_Ads,284.39,9.19,2582.52
2024-01-01,Esportes,Organico,0.0,7.46,1574.81
2024-01-01,Esportes,Email_Marketing,204.96,10.87,2714.0
2024-01-01,Moda,TikTok_Ads,321.91,9.28,3490.88
2024-01-02,Esportes,Meta_Ads,552.22,21.26,4000.8
2024-01-02,Eletronicos,Meta_Ads,478.12,16.11,4129.77
2024-01-02,Moda,Google_Ads,841.77,2.2,3893.89
2024-01-02,Beleza_Saude,Meta_Ads,681.99,15.69,4280.28
2024-01-02,Eletronicos,Organico,0.0,10.49,2636.78
2024-01-02,Beleza_Saude,Meta_Ads,533.03,9.7,4132.45
2024-01-03,Eletronicos,Google_Ads,927.26,7.47,6656.09
2024-01-03,Esportes,Google_Ads,1060.73,13.06,5954.71
2024-01-03,Esportes,Google_Ads,620.73,11.44,4902.37
2024-01-03,Eletronicos,Email_Marketing,107.85,16.75,4860.86
2024-01-04,Casa_Decoracao,TikTok_Ads,172.53,16.11,2836.64
2024-01-04,Casa_Decoracao,Google_Ads,740.2,12.46,3199.94
2024-01-04,Eletronicos,Organico,0.0,13.79,4216.21
2024-01-04,Casa_Decoracao,Meta_Ads,565.78,7.96,3607.36
2024-01-04,Esportes,TikTok_Ads,614.43,13.64,3725.05
2024-01-05,Casa_Decoracao,Google_Ads,902.65,5.25,4129.24
2024-01-05,Moda,Google_Ads,825.4,5.75,6348.45
2024-01-05,Beleza_Saude,TikTok_Ads,480.83,7.47,2947.62
2024-01-05,Eletronicos,Google_Ads,703.38,9.15,3822.43
2024-01-05,Eletronicos,Email_Marketing,197.39,11.92,4028.15
2024-01-06,Moda,Google_Ads,711.65,11.58,5594.25
2024-01-06,Casa_Decoracao,TikTok_Ads,321.69,13.69,4203.8
2024-01-06,Eletronicos,Google_Ads,1193.01,2.3,6048.41
2024-01-06,Esportes,Meta_Ads,677.41,5.39,3648.38
2024-01-06,Eletronicos,Meta_Ads,627.69,19.01,5592.98
2024-01-07,Eletronicos,Email_Marketing,158.14,4.25,3789.74
2024-01-07,Eletronicos,Email_Marketing,110.16,14.37,3291.68
2024-01-07,Beleza_Saude,TikTok_Ads,693.74,8.08,3840.61
2024-01-07,Casa_Decoracao,Email_Marketing,180.51,5.85,2758.4
2024-01-07,Esportes,TikTok_Ads,663.39,3.96,4088.67
2024-01-07,Casa_Decoracao,Meta_Ads,692.23,15.91,3657.48
